Kуd ADM;Kуd obce;Nбzev obce;Nбzev MOMC;Nбzev MOP;Kуd ибsti obce;Nбzev ибsti obce;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
418757;593401;Nemotice;;;103250;Nemotice;;и.p.;129;;;68333;561822.73;1171557.62;2013-12-04T00:00:00
418765;593401;Nemotice;;;103250;Nemotice;;и.p.;130;;;68333;561809.27;1171581.10;2013-12-04T00:00:00
418773;593401;Nemotice;;;103250;Nemotice;;и.p.;131;;;68333;561757.56;1171653.88;2013-12-04T00:00:00
418781;593401;Nemotice;;;103250;Nemotice;;и.p.;132;;;68333;561786.33;1171620.00;2013-12-04T00:00:00
418790;593401;Nemotice;;;103250;Nemotice;;и.p.;133;;;68333;561792.57;1171607.44;2013-12-04T00:00:00
418803;593401;Nemotice;;;103250;Nemotice;;и.p.;134;;;68333;561802.27;1171594.01;2013-12-04T00:00:00
418811;593401;Nemotice;;;103250;Nemotice;;и.p.;135;;;68333;561931.19;1171365.08;2013-12-04T00:00:00
418820;593401;Nemotice;;;103250;Nemotice;;и.p.;136;;;68333;561772.70;1171845.85;2013-12-04T00:00:00
418838;593401;Nemotice;;;103250;Nemotice;;и.p.;137;;;68333;561606.47;1172184.60;2013-12-04T00:00:00
418846;593401;Nemotice;;;103250;Nemotice;;и.p.;138;;;68333;561617.76;1172160.93;2013-12-04T00:00:00
418854;593401;Nemotice;;;103250;Nemotice;;и.p.;139;;;68333;561594.76;1172233.06;2013-12-04T00:00:00
418862;593401;Nemotice;;;103250;Nemotice;;и.p.;140;;;68333;561589.34;1172246.99;2013-12-04T00:00:00
418871;593401;Nemotice;;;103250;Nemotice;;и.p.;141;;;68333;561816.69;1171569.63;2013-12-04T00:00:00
418889;593401;Nemotice;;;103250;Nemotice;;и.p.;142;;;68333;561775.34;1171632.70;2013-12-04T00:00:00
418897;593401;Nemotice;;;103250;Nemotice;;и.p.;143;;;68333;561404.59;1172285.28;2013-12-04T00:00:00
418901;593401;Nemotice;;;103250;Nemotice;;и.p.;144;;;68333;561606.16;1172107.24;2013-12-04T00:00:00
418919;593401;Nemotice;;;103250;Nemotice;;и.p.;145;;;68333;561829.15;1171547.80;2013-12-04T00:00:00
418927;593401;Nemotice;;;103250;Nemotice;;и.p.;146;;;68333;561611.61;1172199.02;2013-12-04T00:00:00
418935;593401;Nemotice;;;103250;Nemotice;;и.p.;147;;;68333;561577.90;1172273.48;2013-12-04T00:00:00
418943;593401;Nemotice;;;103250;Nemotice;;и.p.;148;;;68333;561570.78;1172293.14;2013-12-04T00:00:00
418951;593401;Nemotice;;;103250;Nemotice;;и.p.;149;;;68333;561583.36;1172260.95;2013-12-04T00:00:00
418960;593401;Nemotice;;;103250;Nemotice;;и.p.;150;;;68333;561320.06;1172326.37;2013-12-04T00:00:00
418978;593401;Nemotice;;;103250;Nemotice;;и.p.;151;;;68333;561987.48;1171310.67;2013-12-04T00:00:00
418986;593401;Nemotice;;;103250;Nemotice;;и.p.;152;;;68333;561614.21;1172094.46;2013-12-04T00:00:00
418994;593401;Nemotice;;;103250;Nemotice;;и.p.;153;;;68333;561619.98;1172084.82;2013-12-04T00:00:00
419001;593401;Nemotice;;;103250;Nemotice;;и.p.;154;;;68333;561599.21;1172221.59;2013-12-04T00:00:00
419010;593401;Nemotice;;;103250;Nemotice;;и.p.;155;;;68333;561665.32;1171921.98;2013-12-04T00:00:00
419028;593401;Nemotice;;;103250;Nemotice;;и.p.;156;;;68333;561711.78;1171862.14;2013-12-04T00:00:00
419036;593401;Nemotice;;;103250;Nemotice;;и.p.;157;;;68333;561643.98;1171951.93;2013-12-04T00:00:00
419044;593401;Nemotice;;;103250;Nemotice;;и.p.;158;;;68333;561941.36;1171353.13;2013-12-04T00:00:00
419052;593401;Nemotice;;;103250;Nemotice;;и.p.;159;;;68333;561567.21;1172308.61;2013-12-04T00:00:00
419061;593401;Nemotice;;;103250;Nemotice;;и.p.;160;;;68333;561626.19;1171980.25;2013-12-04T00:00:00
419079;593401;Nemotice;;;103250;Nemotice;;и.p.;161;;;68333;561314.54;1172419.06;2013-12-04T00:00:00
419087;593401;Nemotice;;;103250;Nemotice;;и.p.;162;;;68333;561635.01;1171963.56;2013-12-04T00:00:00
419095;593401;Nemotice;;;103250;Nemotice;;и.p.;163;;;68333;561138.81;1172449.17;2013-12-04T00:00:00
419109;593401;Nemotice;;;103250;Nemotice;;и.p.;164;;;68333;561129.72;1172456.59;2013-12-04T00:00:00
419117;593401;Nemotice;;;103250;Nemotice;;и.p.;165;;;68333;561826.19;1171232.12;2013-12-04T00:00:00
419125;593401;Nemotice;;;103250;Nemotice;;и.p.;166;;;68333;561167.72;1172418.87;2013-12-04T00:00:00
419133;593401;Nemotice;;;103250;Nemotice;;и.p.;167;;;68333;561658.37;1172031.32;2013-12-04T00:00:00
419141;593401;Nemotice;;;103250;Nemotice;;и.p.;168;;;68333;561656.39;1171781.41;2013-12-04T00:00:00
419150;593401;Nemotice;;;103250;Nemotice;;и.p.;169;;;68333;561660.78;1171929.87;2013-12-04T00:00:00
419168;593401;Nemotice;;;103250;Nemotice;;и.p.;170;;;68333;561648.74;1172045.91;2013-12-04T00:00:00
419176;593401;Nemotice;;;103250;Nemotice;;и.p.;171;;;68333;562009.22;1171258.61;2013-12-04T00:00:00
419184;593401;Nemotice;;;103250;Nemotice;;и.p.;172;;;68333;562018.75;1171292.39;2013-12-04T00:00:00
419192;593401;Nemotice;;;103250;Nemotice;;и.p.;173;;;68333;561940.65;1171229.77;2013-12-04T00:00:00
419206;593401;Nemotice;;;103250;Nemotice;;и.p.;174;;;68333;561313.99;1172411.87;2013-12-04T00:00:00
419214;593401;Nemotice;;;103250;Nemotice;;и.p.;175;;;68333;561185.80;1172400.75;2013-12-04T00:00:00
419222;593401;Nemotice;;;103250;Nemotice;;и.p.;176;;;68333;562029.32;1171392.12;2013-12-04T00:00:00
419231;593401;Nemotice;;;103250;Nemotice;;и.p.;177;;;68333;561339.48;1172377.74;2013-12-04T00:00:00
419249;593401;Nemotice;;;103250;Nemotice;;и.p.;178;;;68333;561566.73;1172320.48;2013-12-04T00:00:00
419257;593401;Nemotice;;;103250;Nemotice;;и.p.;179;;;68333;561725.38;1172000.18;2013-12-04T00:00:00
419265;593401;Nemotice;;;103250;Nemotice;;и.p.;180;;;68333;561703.78;1172012.06;2013-12-04T00:00:00
419273;593401;Nemotice;;;103250;Nemotice;;и.p.;181;;;68333;561765.72;1171643.08;2013-12-04T00:00:00
419281;593401;Nemotice;;;103250;Nemotice;;и.p.;182;;;68333;561489.10;1171860.87;2013-12-04T00:00:00
419290;593401;Nemotice;;;103250;Nemotice;;и.p.;183;;;68333;561864.92;1171481.03;2013-12-04T00:00:00
419303;593401;Nemotice;;;103250;Nemotice;;и.p.;184;;;68333;561876.71;1171457.83;2013-12-04T00:00:00
419311;593401;Nemotice;;;103250;Nemotice;;и.p.;185;;;68333;561404.22;1171888.14;2013-12-04T00:00:00
419320;593401;Nemotice;;;103250;Nemotice;;и.p.;186;;;68333;561978.61;1171243.98;2013-12-04T00:00:00
419338;593401;Nemotice;;;103250;Nemotice;;и.p.;187;;;68333;562029.82;1171332.90;2013-12-04T00:00:00
419346;593401;Nemotice;;;103250;Nemotice;;и.p.;188;;;68333;562003.80;1171298.25;2013-12-04T00:00:00
419354;593401;Nemotice;;;103250;Nemotice;;и.p.;189;;;68333;561742.51;1171990.23;2013-12-04T00:00:00
419362;593401;Nemotice;;;103250;Nemotice;;и.p.;190;;;68333;561692.91;1171890.54;2013-12-04T00:00:00
419371;593401;Nemotice;;;103250;Nemotice;;и.p.;191;;;68333;561329.72;1171788.82;2013-12-04T00:00:00
